node,type,,,,
GAPDH,target,,,,Allose
MYC,target,,,,N-p-trans-Coumaroyltyramine
CTNNB1,target,,,,Nicotinamide
ESR1,target,,,,Cacticin
PTEN,target,,,,
STAT3,target,,,,
JUN,target,,,,
IL6,target,,,,
TNF,target,,,,
HIF1A,target,,,,
INS,target,,,,
BCL2,target,,,,
CCND1,target,,,,
SRC,target,,,,
CASP3,target,,,,
ERBB2,target,,,,
KRAS,target,,,,
MAPK3,target,,,,
CDH1,target,,,,
MYC,target,,,,
CTNNB1,target,,,,
ESR1,target,,,,
PTEN,target,,,,
TP53,target,,,,
AKT1,target,,,,
EGFR,target,,,,
GAPDH,target,,,,
STAT3,target,,,,
JUN,target,,,,
IL6,target,,,,
TNF,target,,,,
HIF1A,target,,,,
INS,target,,,,
BCL2,target,,,,
CCND1,target,,,,
SRC,target,,,,
CASP3,target,,,,
ERBB2,target,,,,
KRAS,target,,,,
MAPK3,target,,,,
CDH1,target,,,,
EGF,target,,,,
NFKB1,target,,,,
IL1B,target,,,,
MMP9,target,,,,
HSP90AA1,target,,,,
FN1,target,,,,
CDKN2A,target,,,,
TGFB1,target,,,,
CD44,target,,,,
PARP1,target,,,,
GSK3B,target,,,,
FOS,target,,,,
ATM,target,,,,
PPARG,target,,,,
IGF1,target,,,,
EP300,target,,,,
AR,target,,,,
MTOR,target,,,,
BRCA1,target,,,,
NOTCH1,target,,,,
MDM2,target,,,,
FGF2,target,,,,
SMAD4,target,,,,
CDKN1A,target,,,,
PIK3CA,target,,,,
IGF1R,target,,,,
SOX2,target,,,,
PTGS2,target,,,,
EZH2,target,,,,
SMAD3,target,,,,
SIRT1,target,,,,
ANXA5,target,,,,
BRAF,target,,,,
RHOA,target,,,,
CXCL8,target,,,,
SMAD2,target,,,,
JAK2,target,,,,
STAT1,target,,,,
IL10,target,,,,
CXCR4,target,,,,
KDR,target,,,,
CDK4,target,,,,
HSPA4,target,,,,
CREB1,target,,,,
MAPK1,target,,,,
MMP2,target,,,,
SNAI1,target,,,,
BCL2L1,target,,,,
TLR4,target,,,,
HDAC1,target,,,,
ICAM1,target,,,,
HRAS,target,,,,
CCL2,target,,,,
KIT,target,,,,
FOXO1,target,,,,
RELA,target,,,,
PIK3R1,target,,,,
CDH2,target,,,,
CDK2,target,,,,
NFKBIA,target,,,,
CAV1,target,,,,
MAPK8,target,,,,
PDGFRB,target,,,,
TERT,target,,,,
CYCS,target,,,,
CXCL12,target,,,,
CDK1,target,,,,
ITGB1,target,,,,
FOXO3,target,,,,
IL1A,target,,,,
NRAS,target,,,,
HGF,target,,,,
CD274,target,,,,
MCL1,target,,,,
PGR,target,,,,
IL2,target,,,,
CASP8,target,,,,
SPP1,target,,,,
POU5F1,target,,,,
RUNX2,target,,,,
MET,target,,,,
BRCA2,target,,,,
E2F1,target,,,,
FGF7,target,,,,
CREBBP,target,,,,
IL4,target,,,,
PDGFRA,target,,,,
MAP2K1,target,,,,
CASP9,target,,,,
GRB2,target,,,,
Allose,counpounds,,,,
N-p-trans-Coumaroyltyramine,counpounds,,,,
Nicotinamide,counpounds,,,,
Cacticin,counpounds,,,,
Kaposi sarcoma-associated herpesvirus infection,pathway,,,,
TNF signaling pathway,pathway,,,,
Lipid and atherosclerosis,pathway,,,,
Hepatitis B,pathway,,,,
Pathways in cancer,pathway,,,,
IL-17 signaling pathway,pathway,,,,
Chagas disease,pathway,,,,
PI3K-Akt signaling pathway,pathway,,,,
Pertussis,pathway,,,,
Human cytomegalovirus infection,pathway,,,,
